classification,mean,sum,count
Extreme Greed,25.418772159436944,176965.491774,6962
Fear,50.047621894017375,6699925.190574,133871
Greed,87.8948589207749,3189616.535376,36289
Neutral,22.229712656210616,158742.378078,7141
